,Temp,FM,Psi,Date
861,13.48071875,26.10565625,-1.504492501,4/25/11
862,14.65501042,23.68538542,-1.680969249,4/26/11
863,16.62030208,22.08288542,-1.820722902,4/27/11
864,18.73253125,20.70135417,-1.959877411,4/28/11
865,15.02496875,19.87407292,-2.0531489,4/29/11
866,15.40321875,18.62435417,-2.210929507,4/30/11
867,19.44496875,16.34140625,-2.56635979,5/1/11
868,20.7076875,15.25815625,-2.775077668,5/2/11
869,22.99728125,14.1241875,-3.030463992,5/3/11
870,22.72846875,13.06672917,-3.311595124,5/4/11
871,19.85439583,12.85613542,-3.373506793,5/5/11
872,15.79520833,13.4503125,-3.2041481,5/6/11
873,14.36961458,13.51432292,-3.18685274,5/7/11
874,13.22875,15.35275,-2.755594097,5/8/11
875,11.862,17.29673958,-2.40540521,5/9/11
876,12.61357292,16.16776042,-2.597805564,5/10/11
877,13.28517708,13.73318646,-3.12901891,5/11/11
878,14.97097917,12.84458021,-3.376966757,5/12/11
879,16.18344792,12.40424063,-3.513965399,5/13/11
880,13.93976042,14.41380833,-2.961145325,5/14/11
881,11.86318718,29.32465625,-1.317716392,5/15/11
882,10.54705871,53.06921875,-0.670111108,5/16/11
883,11.78623958,41.91930208,-0.876830159,5/17/11
884,12.128875,52.30482292,-0.681286698,5/18/11
885,12.24979167,61.70884375,-0.564249837,5/19/11
886,14.04953125,53.5429375,-0.663356498,5/20/11
887,14.75382292,43.5935625,-0.838544272,5/21/11
888,14.03747917,35.77336458,-1.050532106,5/22/11
889,13.94758333,32.57371875,-1.168957491,5/23/11
890,13.1919375,28.92472917,-1.338506502,5/24/11
891,15.18498958,24.09861458,-1.648149193,5/25/11
892,15.29416667,20.99912604,-1.928226724,5/26/11
893,15.73541667,19.26172188,-2.127722891,5/27/11
894,15.6880625,17.68666875,-2.345044026,5/28/11
895,12.883,19.4970875,-2.098466228,5/29/11
896,14.42835417,21.12222083,-1.915421548,5/30/11
897,15.945125,16.63964271,-2.513988764,5/31/11
898,14.12042708,15.98943021,-2.630860877,6/1/11
899,13.78844792,15.22620625,-2.781716978,6/2/11
900,15.65301042,14.049575,-3.048817688,6/3/11
901,14.61836458,13.36418646,-3.227698858,6/4/11
902,14.24133333,12.84699063,-3.376244459,6/5/11
